GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,FULLTEXT
1281735146,20250101,202501,2025,2025.0027,,,,,,,,,,,CVL,COMMUNITY,,,,,,CVL,,,0,190,190,19,4,-10.0,2,1,2,-2.27032734952481,0,,,,,,,,4,"Jervis Bay, Australian Capital Territory, Australia",AS,AS01,5129,-35.1333,150.7,-1580121,4,"Jervis Bay, Australian Capital Territory, Australia",AS,AS01,5129,-35.1333,150.7,-1580121,20260101000000,https://www.batemansbaypost.com.au/story/9143817/nsw-extends-blue-groper-fishing-ban-after-outcry/,
1281735147,20250101,202501,2025,2025.0027,,,,,,,,,,,MIL,NATIONAL GUARD,,,,,,MIL,,,1,841,84,8,2,7.0,12,2,12,-0.86207961268171,0,,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260101000000,https://www.brandonsun.com/world/2025/12/31/chief-justice-says-constitution-remains-firm-and-unshaken-with-major-supreme-court-rulings-ahead,
1281735148,20250101,202501,2025,2025.0027,AUS,AUSTRALIA,AUS,,,,,,,,CVL,COMMUNITY,,,,,,CVL,,,0,190,190,19,4,-10.0,6,1,6,-2.27032734952481,4,"Jervis Bay, Australian Capital Territory, Australia",AS,AS01,5129,-35.1333,150.7,-1580121,4,"Jervis Bay, Australian Capital Territory, Australia",AS,AS01,5129,-35.1333,150.7,-1580121,4,"Jervis Bay, Australian Capital Territory, Australia",AS,AS01,5129,-35.1333,150.7,-1580121,20260101000000,https://www.batemansbaypost.com.au/story/9143817/nsw-extends-blue-groper-fishing-ban-after-outcry/,
1281735149,20250101,202501,2025,2025.0027,AUS,AUSTRALIA,AUS,,,,,,,,CVL,COMMUNITY,,,,,,CVL,,,0,190,190,19,4,-10.0,2,1,2,-2.27032734952481,4,"Jervis Bay, Australian Capital Territory, Australia",AS,AS01,5129,-35.1333,150.7,-1580121,4,"Austinmer Beach, New South Wales, Australia",AS,AS02,5113,-34.2985,150.935,11422725,4,"Jervis Bay, Australian Capital Territory, Australia",AS,AS01,5129,-35.1333,150.7,-1580121,20260101000000,https://www.batemansbaypost.com.au/story/9143817/nsw-extends-blue-groper-fishing-ban-after-outcry/,
1281735150,20250101,202501,2025,2025.0027,GBR,UNITED KINGDOM,GBR,,,,,,,,GBRGOV,LONDON,GBR,,,,,GOV,,,0,42,42,4,1,1.9,4,2,4,-1.28755364806867,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260101000000,https://www.northwaleschronicle.co.uk/news/national/25731429.outrage-grotesque-fencing-around-london-park-stop-new-years-eve-revelry/,
1281735151,20250101,202501,2025,2025.0027,GBRGOV,LONDON,GBR,,,,,GOV,,,,,,,,,,,,,0,42,42,4,1,1.9,6,2,6,-1.28755364806867,4,"River Thames, United Kingdom (general), United Kingdom",UK,UK00,40108,51.5,0.466667,-2609593,0,,,,,,,,4,"River Thames, United Kingdom (general), United Kingdom",UK,UK00,40108,51.5,0.466667,-2609593,20260101000000,https://www.northwaleschronicle.co.uk/news/national/25731429.outrage-grotesque-fencing-around-london-park-stop-new-years-eve-revelry/,
1281735152,20250101,202501,2025,2025.0027,GBRGOV,LONDON,GBR,,,,,GOV,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,43,43,4,1,2.8,4,2,4,-1.28755364806867,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260101000000,https://www.northwaleschronicle.co.uk/news/national/25731429.outrage-grotesque-fencing-around-london-park-stop-new-years-eve-revelry/,
1281735153,20250101,202501,2025,2025.0027,ISR,ISRAEL,ISR,,,,,,,,EDU,STUDENT,,,,,,EDU,,,0,190,190,19,4,-10.0,4,1,4,-2.96096904441454,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260101000000,https://www.spokesman.com/stories/2025/dec/31/pentagon-to-pay-boeing-86b-to-make-fighters-for-is/,
1281735154,20250101,202501,2025,2025.0027,JUD,COURT JUDGE,,,,,,JUD,,,,,,,,,,,,,1,70,70,7,2,7.0,5,1,5,-2.96208530805687,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,0,,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260101000000,https://www.bostonglobe.com/2026/01/01/opinion/supreme-court-report-threats/,
1281735155,20250101,202501,2025,2025.0027,MNCKOR,SAMSUNG,KOR,,,,,MNC,,,BUS,COMPANY,,,,,,BUS,,,0,143,143,14,3,-6.5,5,1,5,0.94607379375591,1,Ukraine,UP,UP,,49.0,32.0,UP,1,Ukraine,UP,UP,,49.0,32.0,UP,1,Ukraine,UP,UP,,49.0,32.0,UP,20260101000000,https://www.hellenicshippingnews.com/samsung-heavy-workers-threaten-delivery-delays-over-frozen-bonuses-despite-record-profits/,
